lp,Nazwy ulic w 1932 roku,Po białorusku,Po rosyjsku,Zapis alfabetem łacińskim + komentarze
169,Podolna,Подольная,,Podolnaja
170,Podwalna,Василька,,VAISILKA ? Nie istnieje jak ulica Podwalna, obie ulice powinny być równoległe do Telegrafnyj per. Może to
171,Podzamcze,Давыда Городенского,,Dawida Grodenskovo
172,Polna,Полевая,,Polevaja
173,"Poniatowskiego J.księcia",Островского,,Ostrovskovo
174,"Portowa (od Młynarskeij)",Портовая,,Portovaja
175,Północna,Волковича,,Volkovicha
176,"Prawo - Nadbrzeżna",Подольная,,Nie istnieje w tym miejscu w którym była przed wojną, była ulicą równoległą do ulicy Podolnaja
177,Prochowa,Пороховая,,Porochovaja
178,Próżna,Западная,,Zapadnaja ?? może ? Niedaleko Suvorova
179,"Przebieg (od z-k Artyler.)",,,Chyba nie istnieje obecnie powinna być ulicą boczną ulicy Belusha oraz znajdować się w okolicy cmentarza Farnego od ulicy Artyleryjskiej
180,Przechodnia,,,Chyba nie istnieje powinna łączyć ulicę Sowiecksja z ul Kaljuchynskaja (na wysokości ul Kirowaf)
181,Przedmiejska,Пригородная,,Prigorodnaja
182,Przejazd,"1-й Пригородный Переулок ? 5-й Подольный Переулок ?",,Boczna obecnej ulicy Podolnaja w okolicy cementarza Farnego, "Piąty Rejon Podolnej" ?
183,Przemysłowa,,,Nie istnieje powinna przecinać prostopadlne istniejące ulice Novoselskaja i Prigorodnaja
184,"Przeskok (od Orzeszkowej)Niedaleko domu Orzeszkowej",,,Być może teraz ulica Lenina
185,Ptasia,,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
186,"Pusta (N. Kolonja)",,,Nie istnieje, boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
187,Puszkina,Пушкина,,Pushkina
188,Rabiejowska,Чехова,,Chehova (patrz Szara)
189,Radzymińska,,,Nie znana nazwa okolice obecnych ulic Gdanskaja, Suvorova
190,Raszyńska,Титова,,Titova (została przedłużona)
191,Rejmonta,Реймонта,,Reimonta
192,Rów,,,Nie istnieje okolice obecnej ulicy Darvina i Levonadberezhnej
193,Rusznikarska,,,Chyba nie istnieje, obecnie powinna przebiegać równolegle do ulicy Zamkovaja
194,Rybacka,Рыбацкая,,Rybackaja
195,"Rydza Śmigłego",Василька,,Vasilka
196,Rymarska,,,Nie istnieje, kiedyś boczna od ulicy Oboźnej ( boczna ulicy Podolnaja w okolicach cementarza Farnego)
197,Rynkowa,,,Bolshaja Trockaja + Nochima + Pereca kiedyś, okolice Synagagi (ul Lewusza)
198,Rysia,,,Prawd. Nie istnieje obecnie okolice ul. Gdanskaja
199,Rzeźnicka,Коммунальная,,Komunalnaja
200,"Sienny Rynek",,,Nie istnieje, przed wojną znajdował się pomiędzy przedłużeniem ulicy Svierdlova oraz obecnej ulicy Parizhskoj komuny
201,Skidelska,прасп. Касманаўтаў,Проспект Космонавтов,Prospekt Kosmonavtov
202,"Skidelski Plac",,,Obecnie targowisko pomiędzy ulicami Antonova oraz Poligrafistov
203,Skośna,Скосная,,Skosnaja
204,"Skórnicza (Skórzana)",,,Nie istnieje, powinna znajdować w okolicy ulic Zernova
205,"Słodowa (od Browarnej)",,,Nie istnieje powinna być ulicą boczną ulicy Sportivnej
206,Słoneczna,Солнечная,,Solnechnaja
207,Słowackiego,Словацкого,,Slovackovo
208,"Smocza (u Rzeźnickiej)",Новая,,Novaja
209,"Smolna (od Karmelickiej)",,,Nie istnieje, powinna być boczną obecnej ulicy Sportivnej
210,"Sobieskiego (d. N.Artyler.)",Захарова,,Zacharova
211,"Sokolnicza (d.z-k Mynarski)",Левонабережная,,Levonadberejzhnaja odcinek pomiędzy ulicami Portovaja a Krasnoflotnaja oraz troszkę wcześniej
212,Solna,Пугачева,,Pugacheva patrz (Solna i Konopna zespolone)
213,"Sosnowa (od Skidelskiej)",Сосновая,,Sosnovaja
214,"Sowińskiego gen.",Кармелюка,,Karmeljuka
215,Stanisławowska,Тимирязева,,Timirjazeva
216,Stara,,,Nie istnieje, kiedyś łączyła Mostową z Mieszczańską obcenie (Mostowa (Davyda Grodenskovo),Stepana Batorija)
217,"Stroma (od Zbożowej)",,,Nie istnieje prawdopodobnie
218,Strycharska,,,Nie istnieje obecnie niedaleko została przedłużona ulica Puszkina
219,Strzelcka,Пролетарская,,Nie znana nazwa ulicy, równoległa do ulicy Proletarjackaja
220,Sucha,,,Możliwe że istnieje, łączy ulice Novaja i Jasnaja Nemenskaja (okolice ulicy Komunalnaja)
221,Sudawska,Кутузова,,Kutuzova
222,"Syrkomli (od Łosos.)",Сырокомли,,Syrokomli
223,"Szara (od Białos.)",Чехова,,Chehova (patrz Rabiejovska)
224,Szczygla,Разина,,Razina
225,"Szklana (od Białos.)",,,Nie istnieje ??
226,"Szkolna (od Zamk.)",,,Nie istnieje, obecnie powinna się znajdować w okolicy ulicy Schastnovo
227,Ślepa,,,Możliwe że nie istnieje a o ile istnieje to teraz jest to boczna Socjalisticheskiej
228,Ślimak,Белуша,,Prawdopodobnie chodzi o część ulicy Belusha łączącej się z ulicą Podolnaja
229,"Śmiała (od Wileńskiej)",,,Nie istnieje ??? Powinna łączyć Pier Wilenskaja z Pl. Tizenhauza (przebiegała nad Horodniczanką)
230,Świerkowa,Менделеева,,Mendelejeva
231,Świsłocka,,,Możliwe że istnieje ??
232,"Tartaczna (u Podolnej) moje. Boczna Przedmiejskiej",,,Obecnie chyba istnieje choć nie jest znana jest nazwa, Boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
233,Tatarska,Татарская,,Tatarskaja
234,"Teatralny Plac (część pl. Tyzenhauza)","Площадь Тизенхауза или Ленина",,Ploshchadh Tizenhauza lub Lenina
235,"Towarowa (u Rynkowej)",,,Nie istnieje, powinna być ulicą boczną ulica Bolszaja Trockaja w kierunku ulicy Sovieckaja
236,Tracka,,,Chyba nie istnieje, obecnie powinna łączyć ul Mostovaja z ul Podgornaja
237,"Traugutta R. (od Grandz.)",,,Chyba nie istnieje, kiedyś była ulicą równoległą do ul. Hofmajstra (Kotovskovo)
238,Trębacka,Орджоникидзе,,Ordzhonikidze
239,Trojdena,Щедрина,,Shchedrina
240,"Trójcy św.(Trojecka)",Малая Троицкая,,Małaja Trockaja + kiedyś ulica Krzywa
241,Tytoniowa,,,Nie istnieje, kiedyś łączyła Mostową z Mieszczańską obcenie (Mostowa (Davyda Grodenskovo),Stepana Batorija) przedłużenie ulicy Starej
242,"Tyzenhauza Plac","Площадь Тизенхауза или Ленина",,Plac Lenina, Tyzenhausa
243,"Ułańska -","Дарвина, Новооктябрьская",,Darvina, Novooktjabrskaja → przebudowane
